"Timestamp","Your animal name login:","I consent to the collection of my questionnaire responses and my interactions with the website, such as button presses, zooming, and node dragging, to be recorded for research analysis.
I understand that this study only evaluates the learning tool, and that my academic ability or performance is not being assessed.
I understand that no personally identifying information (such as my name) will be collected, and that all data will be stored securely and used solely for academic research purposes.
I understand that participation is voluntary and that I have the right to withdraw at any time without consequence. If I withdraw mid-study, my data will be removed from analysis.
I understand that data will be retained only for the necessary duration of the study and will be destroyed after the study concludes.
I understand that I may ask questions at any time about the nature of the study or the use of my data.","The use of Large Language Models in platforms like ChatGPT have made computers increasingly able to write convincingly human-like text.

How is the way a computer reads code different to the way it may read an essay or poetry?"
"2026/03/25 4:08:53 pm CET","Shark","I consent","The computer will read code as instructions, whereas it will ""read"" an essay by storing the binary character codes for each letter"
"2026/03/25 4:09:09 pm CET","penguin","I consent","it may be quicker for the computer to process code, and for peotry it may look at past analyses of the poem rather than make its own"
"2026/03/25 4:09:16 pm CET","flamingo","I consent","A computer does not take subtle meanings or reads between the lines"
"2026/03/25 4:09:27 pm CET","elephant","I consent","Code is in binary and an essay / poetry is written in words. Humans can interpret words in different ways and think of different meanings but computers cannot, which means it can only think of one right or wrong answer as they do not have emotions."
"2026/03/25 4:09:47 pm CET","gecko","I consent","Yes, it follows code exactly whereas it infers what it can from essays or poetry"
"2026/03/25 4:09:57 pm CET","newt","I consent","It reads code like a list of commands whereas it may read an essay by referencing words in an essay to a library."
"2026/03/25 4:09:59 pm CET","Mole","I consent","Machine code is the “native” language of computer. It translates the human language to the machine code by various algorithms"
"2026/03/25 4:10:08 pm CET","caterpillar","I consent","the computer relates more to the code and with the essay it has to put a human brain on idk what im saying icl"
"2026/03/25 4:10:15 pm CET","Alligator","I consent","I don't know - numbers and binary and that"
"2026/03/25 4:10:18 pm CET","seal","I consent","Code is in binary and essay is written in human words, a computer cannot ""understand"" essay writing in the same way we do because it doesn't have personal experiences or emotions. Computer AI's use examples from other people to make a generated text.  Computers cannot understand human language, it just interprets it as 1's and 0's."
"2026/03/25 4:10:42 pm CET","deer","I consent","A computer reads code as instructions and follows the precise instructions its given"
"2026/03/25 4:11:23 pm CET","Fox","I consent","A computer reads code like a straight hair of instructions, whereas it may read an essay or poetry as information to remember and store without giving it commands"
"2026/03/25 4:11:30 pm CET","koala","I consent","code follows a more strict set of rules than a natural language"
"2026/03/25 4:11:49 pm CET","jaguar","I consent","I don't know"
"2026/03/25 4:11:53 pm CET","gorilla","I consent","Sorry I don't know :("
"2026/03/25 4:12:38 pm CET","duck","I consent","When reading code, the computer looks for certain keywords that it understands and translates them into machine code. When reading texts, it will take each character individually and convert them into binary to analyse it."
"2026/03/25 4:13:54 pm CET","camel","I consent","A computer reads each line of code line-by-line whereas with a poem, it would have to take the overall message of each line along with the techniques used to make a judgement about the poem."
"2026/03/25 4:15:54 pm CET","parrot","I consent","It reads code via a translator and assembler to turn it into true binary, and executes instructions based on it
An LLM reads text via a prompt, which recognise patterns and using complex algorithms generates a probable output to satisfy the input"
"2026/03/25 4:32:05 pm CET","chipmunk","I consent","For example, an essay or poetry contains multiple words which have letters that each have a variety of code assigned to them. Markov chains of probability for the next letters in the word are assigned, with each letter’s probability multiplied by each of the other letter’s probabilities in the word to assess the overall probability of coming up with that word. Finite state machines are involved where conditions are checked prior to the approval of an English sentence."
"2026/04/14 1:30:15 pm CET","barracuda","I consent","Computers read code as it is written, no more no less, poetry and essays can have deeper meanings, or implications behind what's written"
"2026/04/14 1:30:30 pm CET","wolf","I consent"," code has one way of interpreting it whereas essays or poetry may be open to different interpretations"
"2026/04/14 1:30:38 pm CET","baboon","I consent","code is translated into machine code and then read
"
"2026/04/14 1:31:26 pm CET","frog","I do not consent","turns the code into binary to be able to read it"
"2026/04/14 1:32:39 pm CET","otter","I consent","It reads code using machine code, which means code has to be translated to machine code."
"2026/04/14 1:33:39 pm CET","polarbear","I consent","Computers do not understand essays or poetry unlike code, where it reads code logically, unlike essays and poetry which lacks a structure in the same matter."
"2026/04/14 1:35:35 pm CET","hawk","I consent","ionno
"
"2026/04/14 1:35:42 pm CET","toad","I consent","A computer reads code through a mechanical and structural process "
