"Timestamp","Your animal name login:","The use of Large Language Models in platforms like ChatGPT have made computers increasingly able to write convincingly human-like text. 

How is the way a computer reads code different to the way it may read an essay or poetry?","Before this lesson, I understood what a finite state machine was (a model of how a system moves between different states based on fixed rules).","Before this lesson, I understood what a Markov chain was (a system that predicts the next step based on probability rather than fixed rules).","Before this lesson, I understood the difference between a model that must follow rules and one that chooses based on probability.","Before this lesson, I understood how computers process sequences of letters or words","Before this lesson, I understood how probability-based models could produce unexpected or incorrect outputs.","Before this lesson, I could use my knowledge to explain to another student how AI language models (like ChatGPT) use probability.","After this lesson, I understand what a finite state machine is (a model of how a system moves between different states based on fixed rules).","After this lesson, I understand what a Markov chain is (a system that predicts the next step based on probability rather than fixed rules).","After this lesson, I understand the difference between a model that must follow rules and one that chooses based on probability.","After this lesson, I understand how computers process sequences of letters or words","After this lesson, I understand how probability-based models can produce unexpected or “incorrect” outputs.","After this lesson, I could use my knowledge to explain to another student how AI language models (like ChatGPT) use probability.","This app is an helpful tool for exploring and learning about different sequence models."
"2026/03/25 4:59:18 pm CET","caterpillar","the computer reads essays by finding the probabilities of what letter could be next idrk about code","1","1","1","1","1","1","4","4","4","4","4","4","5"
"2026/03/25 4:59:37 pm CET","flamingo","The computer will assess the probability of each word and determine of which word is most likely to come next","2","2","2","2","3","5","7","7","7","7","7","7","6"
"2026/03/25 5:00:14 pm CET","Mole","Yes","2","1","2","2","2","3","6","6","6","6","6","6","7"
"2026/03/25 5:00:30 pm CET","deer","As it uses the probability of different words to calculate what's next","1","1","1","2","1","1","3","3","3","3","3","3","5"
"2026/03/25 5:00:54 pm CET","shark","When a computer reads code, it will use an FSM to ensure all lines of code are valid whereas when it reads an essay or poetry, etc, it may use Markov chains to predict the next letters. These chains are built on large language datasets","1","2","3","1","4","3","7","7","7","7","7","7","7"
"2026/03/25 5:01:12 pm CET","gorilla","The way a computer ""reads"" code is fundamentally different from how it processes language (essays or poetry) because code is designed to be unambiguous, structured, and instructional, whereas natural language is flexible, contextual, and often ambiguous.","1","1","1","1","1","1","5","5","6","4","5","4","7"
"2026/03/25 5:01:27 pm CET","jaguar","Markov chains and finite state machines","2","2","2","2","2","2","6","6","6","6","6","6","6"
"2026/03/25 5:01:52 pm CET","Fox","A computer reads code like a list of commands, and it checks whether its correct using a finite state machine - it may read longer, less predictable writing using a markov chain to cover all possible combinations of letters/words more effectively.","1","1","5","2","4","5","7","7","6","6","7","6","5"
"2026/03/25 5:02:07 pm CET","elephant","Computers use a probability to predict or get an answer to a question, so reading some text or an essay is finding a probability and predicting the next word that will be in the sentence. Platforms like ChatGPT do not form opinions but get probabilities and predict what the answer the user will want. Computers are literal and rule based when it reads code ","3","1","5","7","5","5","7","7","7","6","6","6","6"
"2026/03/25 5:03:11 pm CET","seal","Computers use a probability to get an answer to a question, therefore reading an essay is more like finding the probability of the next word phrase or meaning. The chatbot doesn't form its own opinion it gives you the outcome it thinks is most probable to be what your looking for. Unlike code where it gives an exact input that the computer ""understands"" and gives an accurate response, when reading an essay it gives information based on what it has learnt before","1","3","3","5","4","3","6","6","6","5","6","5","5"
"2026/03/25 5:03:35 pm CET","Zebra","The computer will read code like translating a language and will follow the rules of the coding language and will read it like a command but for a poem it will read it just like a string of words, code can also not have multiple meanings but poetry can","1","1","2","3","4","4","5","5","5","6","6","6","7"
"2026/03/25 5:04:00 pm CET","newt","A computer will read an essay through using a finite state machine working out what could come next based on a set of rules. It also reads code by checking whether it fits the rules.","1","2","2","2","3","1","5","6","5","4","5","4","6"
"2026/03/25 5:05:07 pm CET","koala","when reading code the code being an accepted state or following the programming languages rules is more important than it being highly probable where as using propability for a repetative song like shake it off is more important as a song doesnt have to completely make sense","1","7","1","7","1","7","1","7","1","7","1","7","7"
"2026/03/25 5:05:11 pm CET","parrot","After learning about FSMs and Markov chains I think that they are not that different at a fundamental level when portrayed via Markov chains. They both operate via a set of possible inputs, which are validated via FSMs, and then based on the validation can go on to calculate a probability of it occurring and give a prediction based on how probable you are to write an input which is in the set, such that it is valid and of a high enough probability to recommend.","2","2","4","5","4","3","6","6","6","6","6","5","7"
"2026/03/25 5:05:35 pm CET","alligator","A computer reads code by reading the syntax and ensuring it is correct, like the Finite State Machine. The AI looks for the most common letter/word after the previous thing, and generates a prediction of the statistically most likely outcome given the prompt. ","3","5","3","1","5","6","6","7","5","4","6","4","6"
"2026/03/25 5:06:18 pm CET","chipmunk","Computers read code by checking whether the python syntax is valid. This may include identifying and verifying data types e.g. Boolean, strings, variables etc. A computer may read an essay or poetry through the use of Markov chains, assessing the probability for each letter to be picked when followed by another letter and multiplying probabilities to get the overall probability. Computers also verify the prerequisites for a sentence to be a sentence, for example, including a subject, noun and a verb.","3","6","5","3","5","2","7","7","6","6","6","5","7"
"2026/03/25 5:06:31 pm CET","duck","A computer reads code by using a Finite State Machine to analyse what each characters is supposed to represent. It can't read texts easily this way since texts can be any format, unlike code which is structured in a certain way.","1","3","4","3","6","5","7","7","6","5","6","6","7"
"2026/03/25 5:10:45 pm CET","camel","A computer reads code line-by-line where there mostly aren't many human words. In contrast, a poem has human words and would be evaluated differently due to this.","1","3","2","2","3","4","6","6","6","4","6","7","6"
"2026/04/14 2:23:02 pm CET","Barracuda","Computers may be able to efficiently predict what comes next in code due to its linear formatting, and simplified method of communicating, however the entire scope of the English language is grander than the functions of code and as such is a lot harder for something like chatgpt to predict.","1","1","4","5","6","3","6","7","7","7","7","6","6"
"2026/04/14 2:23:28 pm CET","Hawk","It processes the accepted state data and things that has been put onto the internet before","5","5","4","5","3","6","6","5","5","6","5","6","7"
"2026/04/14 2:23:30 pm CET","wolf","A computer reads code and takes probability to predict what may come next in code whereas it validates the script of a essay or poetry to check what will come next is correct","6","6","7","4","7","5","5","5","6","5","6","5","7"
"2026/04/14 2:23:35 pm CET","frog","probability and rules using the markov chain and finite state machine","1","1","4","4","5","4","6","6","5","5","6","6","6"
"2026/04/14 2:23:45 pm CET","baboon","computers work though code logically to try and understand words and work out what could come next
","1","1","1","1","1","1","6","7","6","6","6","6","7"
"2026/04/14 2:23:50 pm CET","polarbear","An essay or poetry is unfamiliar to an LLM, in which it searches for all instances of a topic, and then predicts what words come next by the probability of the next word. It however does not understand the meaning of the words, just the order they go in based off what it finds from what is written by humans.","1","1","5","2","3","2","6","6","7","5","6","5","7"
"2026/04/14 2:24:36 pm CET","otter","Computer code is read using the Finite State Machines and essays and poetry use Markov chains","1","1","2","3","2","2","5","6","6","6","6","5","6"
